indice_tiempo,region_de_destino,categoria_del_hotel,facturacion_total_en_pesos,observaciones
2012-08-01,Litoral,4 y 5 estrellas,58530506,""
2012-08-01,Litoral,Para Hoteles,9232881,""
2012-08-01,Norte,1 y 2 estrellas,11888186,""
2012-08-01,Norte,3 estrellas/boutiques/aparts,26258135,""
2012-08-01,Norte,4 y 5 estrellas,33897395,""
2012-08-01,Norte,Para Hoteles,8147342,""
2012-08-01,Patagonia,1 y 2 estrellas,19553157,""
2012-08-01,Patagonia,3 estrellas/boutiques/aparts,45276892,""
2012-08-01,Patagonia,4 y 5 estrellas,60135003,""
2012-08-01,Patagonia,Para Hoteles,21299309,""
2012-09-01,Buenos Aires,1 y 2 estrellas,5232471,""
2012-09-01,Buenos Aires,3 estrellas/boutiques/aparts,20557227,""
2012-09-01,Buenos Aires,4 y 5 estrellas,20307907,""
2012-09-01,Buenos Aires,Para Hoteles,15340312,""
2012-09-01,CABA,1 y 2 estrellas,14520273,""
2012-09-01,CABA,3 estrellas/boutiques/aparts,63079030,""
2012-09-01,CABA,4 y 5 estrellas,194342957,""
2012-09-01,CABA,Para Hoteles,10610776,""
2012-09-01,Cuyo,1 y 2 estrellas,6937076,""
2012-09-01,Cuyo,3 estrellas/boutiques/aparts,21978680,""
2012-09-01,Cuyo,4 y 5 estrellas,65014698,""
2012-09-01,Cuyo,Para Hoteles,4326581,""
2012-09-01,Córdoba,1 y 2 estrellas,8313322,""
2012-09-01,Córdoba,3 estrellas/boutiques/aparts,15182162,""
2012-09-01,Córdoba,4 y 5 estrellas,15110917,""
2012-09-01,Córdoba,Para Hoteles,7260545,""
2012-09-01,Litoral,1 y 2 estrellas,7321985,""
2012-09-01,Litoral,3 estrellas/boutiques/aparts,30513948,""
2012-09-01,Litoral,4 y 5 estrellas,57820102,""
2012-09-01,Litoral,Para Hoteles,9469846,""
2012-09-01,Norte,1 y 2 estrellas,9442438,""
2012-09-01,Norte,3 estrellas/boutiques/aparts,25600948,""
2012-09-01,Norte,4 y 5 estrellas,40625219,""
2012-09-01,Norte,Para Hoteles,8528417,""
2012-09-01,Patagonia,1 y 2 estrellas,20131840,""
2012-09-01,Patagonia,3 estrellas/boutiques/aparts,48021739,""
2012-09-01,Patagonia,4 y 5 estrellas,63400882,""
